"X8R17 : BASE,NBK,LAT,CTO,WW,5290D",,
PART NUMBER,DESCRIPTION,QUANTITY
0X52R,"LBL,SVC TAG,20X6MM,R0.3,BLK C",1
J8PH2,"INFO,CHAIN,CUSTODY",1
DF3MX,"INFO,64-BIT,UEFI-MFG,PROCESS",1
NPDFD,"INFO,SWSI,TABLET,STD,5290D",1
4P9FX,"INFO,HASH,BIOS",1
H82C5,"INFO,HASH,ENABLE,VERIFY,RGD",1
"WTWWR : MOD,ASSY,BASE,I3,4G,5290D",,
PART NUMBER,DESCRIPTION,QUANTITY
CDXP9,"ASSY,CMRA,5M,FRT,5285",1
K0CP7,"INFO,INTEL,4G,BASE,9343",1
K5JFF,"ASSY,BASE,I3,4G,5290D",1
VNVPD,"ASSY,CMRA,8M,REAR,5285/7285",1
"W753G : Module,Information,Direct Ship,Compal,TSINGMA",,
PART NUMBER,DESCRIPTION,QUANTITY
Y364G,"INFO,DIRSHP,CMPL,KUNSHAN",1
"VM7GH : MOD,STNG,ME,DISABLE,PBC MLK",,
PART NUMBER,DESCRIPTION,QUANTITY
56C43,"SRV,SW,ME11,7MB,PBC MLK",1
G451F,"LBL,STNG,MGMT,MEBX,DISABLE,3",1
MDK25,"INFO,MGMT,INTEL,ME,DISABLE",1
Y7HRM,"INFO,RYLTY,ME,DISABLE,PBC MLK",1
"U648N : Module,Label,Retail,Extreme Performance System,16XX,Navy Exchage,2321",,
PART NUMBER,DESCRIPTION,QUANTITY
F572P,"LBL,RTL,XPS,16XX,RTLB,2321",1
"THNKC : MOD,ANT,WWAN,W/CBL,5285",,
PART NUMBER,DESCRIPTION,QUANTITY
YDT70,"ASSY,ANT,WWAN,W/CBL,5285",1
"R86D8 : MOD-SRV,WRLES,61X4A,PCM",,
PART NUMBER,DESCRIPTION,QUANTITY
8MKJ5,"SRV,HTML,WRLES,61X4A",1
CGGY9,"SRV,DRVR,WRLES,61X4A,PCM",1
"P612P : Module,Information,Dual In-line Memory Module,4G,1067 Latitude",,
PART NUMBER,DESCRIPTION,QUANTITY
864KE,"Information,PLACEHOLDER PIECE-PART",1
"NJ1WP : MOD,BRKT,WWAN,W/SCR,5285",,
PART NUMBER,DESCRIPTION,QUANTITY
GKNWG,"Assembly,Bracket,Wireless Wide Area Network,W/SCR,5285",1
"N3PC0 : Module,Information,NO ANTI-VIR US SW",,
PART NUMBER,DESCRIPTION,QUANTITY
T5D0W,"INFO,NO ANTI-VIRUS SW",1
"MX962 : Module,Information,NO MEDIA",,
PART NUMBER,DESCRIPTION,QUANTITY
864KE,"Information,PLACEHOLDER PIECE-PART",1
"JNH00 : Module,Solid State Drive,128,8 0S3,HYNIX,SC311",,
PART NUMBER,DESCRIPTION,QUANTITY
159,"INFO,1ST BOOT,HARD DRIVE",1
6HG72,"SSDR,128,S3,80S3,HYNIX,SC311",1
"J22Y0 : MOD,SHP MTL,TBLT,12,MC",,
PART NUMBER,DESCRIPTION,QUANTITY
0RWD9,"SHP MTL,BAG,NBK,13,PLYFM",1
1GJ8P,"SHP MTL,BOX,ACC,12,MC",1
2J81W,"INFO,MIN-CONFIG,NB,BIZ,DAO",1
